cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
30,No-V2X,CAV030_No-V2X_2000pcu_h,123,134.09,17.4,23,0,25,0.0,0.0,0.6387
30,No-V2X,CAV030_No-V2X_2800pcu_h,164,139.05,22.32,24,0,35,0.0,0.0,0.4779
30,No-V2X,CAV030_No-V2X_3600pcu_h,214,145.24,28.66,27,0,40,0.0,0.0,0.4553
30,DRL (PPO),CAV030_DRL_PPO_1200pcu_h,79,125.1,8.39,4,0,12,0.0,0.0,0.6532
30,DRL (PPO),CAV030_DRL_PPO_2000pcu_h,125,129.18,12.65,22,0,23,0.0,0.0,0.5694
30,DRL (PPO),CAV030_DRL_PPO_2800pcu_h,169,136.49,19.66,21,0,32,0.0,0.0,0.5003
30,DRL (PPO),CAV030_DRL_PPO_3600pcu_h,216,143.18,26.63,22,0,37,0.0,0.0,0.4455
50,Game (Ours),CAV050_Game_Ours_1200pcu_h,74,127.15,6.55,23,0,13,0.0,0.0,0.6579
50,Game (Ours),CAV050_Game_Ours_2000pcu_h,122,137.28,17.31,41,0,23,0.0,0.0,0.5992
50,Game (Ours),CAV050_Game_Ours_2800pcu_h,169,139.41,18.98,54,0,34,0.0,0.0,0.5675
50,Game (Ours),CAV050_Game_Ours_3600pcu_h,212,144.68,24.32,60,0,38,0.0,0.0,0.5191
50,SUMO Default,CAV050_SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
50,SUMO Default,CAV050_SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
50,SUMO Default,CAV050_SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
50,SUMO Default,CAV050_SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
50,Rule-Based,CAV050_Rule-Based_1200pcu_h,2,109.2,-0.28,24,2,21,6.4738,0.0911,0.0
50,Rule-Based,CAV050_Rule-Based_2000pcu_h,3,118.2,-0.35,49,2,41,7.1682,0.0925,0.0
50,Rule-Based,CAV050_Rule-Based_2800pcu_h,2,109.2,-0.28,93,4,47,8.5841,0.0895,0.0
