cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
30,Rule-Based,Rule-Based_3600pcu_h,3.0,112.0,-0.4,35.0,4.0,83.0,11.0,0.1,0.0
30,No-V2X,No-V2X_1200pcu_h,78.3,126.7,8.5,10.0,0.0,11.7,0.0,0.0,0.5
30,No-V2X,No-V2X_2000pcu_h,124.3,134.0,15.9,18.0,0.0,21.7,0.0,0.0,0.5
30,No-V2X,No-V2X_2800pcu_h,169.3,139.5,21.7,21.7,0.0,30.3,0.0,0.0,0.5
30,No-V2X,No-V2X_3600pcu_h,208.7,147.4,29.7,40.7,1.3,43.0,0.0,0.0,0.4
30,DRL (PPO),DRL_PPO_1200pcu_h,78.3,126.0,7.8,8.7,0.0,11.3,0.0,0.0,0.5
30,DRL (PPO),DRL_PPO_2000pcu_h,125.7,132.7,14.7,14.3,0.0,21.3,0.0,0.0,0.5
30,DRL (PPO),DRL_PPO_2800pcu_h,167.0,141.1,23.4,15.7,0.0,32.3,0.0,0.0,0.4
30,DRL (PPO),DRL_PPO_3600pcu_h,204.0,148.2,30.9,26.7,2.0,43.3,0.0,0.0,0.4
50,Game (Ours),Game_Ours_1200pcu_h,76.3,129.2,7.1,20.7,0.0,11.7,0.0,0.0,0.6
50,Game (Ours),Game_Ours_2000pcu_h,122.7,137.0,15.2,27.3,0.0,20.0,0.0,0.0,0.6
50,Game (Ours),Game_Ours_2800pcu_h,168.0,142.0,20.7,38.7,0.0,29.7,0.0,0.0,0.5
50,Game (Ours),Game_Ours_3600pcu_h,210.7,144.8,23.7,73.3,0.0,39.0,0.0,0.0,0.5
50,SUMO Default,SUMO_Default_1200pcu_h,61.0,149.4,20.0,0.0,0.0,10.0,16.7,0.6,0.7
50,SUMO Default,SUMO_Default_2000pcu_h,35.0,138.8,9.8,0.0,0.0,54.0,14.9,0.3,0.8
50,SUMO Default,SUMO_Default_2800pcu_h,41.0,137.7,9.4,0.0,2.0,72.0,15.0,0.3,0.5
50,SUMO Default,SUMO_Default_3600pcu_h,57.0,161.8,34.0,0.0,0.0,92.0,16.6,0.3,0.4
50,Rule-Based,Rule-Based_1200pcu_h,2.0,109.2,-0.3,24.0,2.0,21.0,6.5,0.1,0.0
50,Rule-Based,Rule-Based_2000pcu_h,3.0,118.2,-0.3,45.3,2.0,41.0,6.5,0.1,0.0
50,Rule-Based,Rule-Based_2800pcu_h,2.0,109.2,-0.3,72.3,4.0,62.3,8.7,0.1,0.0
50,Rule-Based,Rule-Based_3600pcu_h,2.0,109.2,-0.3,153.3,4.0,63.0,10.0,0.1,0.0
50,No-V2X,No-V2X_1200pcu_h,76.7,129.1,7.3,15.0,0.0,13.3,0.0,0.0,0.6
50,No-V2X,No-V2X_2000pcu_h,124.0,136.6,15.0,26.7,0.0,19.7,0.0,0.0,0.6
50,No-V2X,No-V2X_2800pcu_h,163.0,142.3,21.1,37.7,0.0,29.7,0.0,0.0,0.5
50,No-V2X,No-V2X_3600pcu_h,213.7,146.5,25.2,56.7,1.3,40.7,0.0,0.0,0.5
50,DRL (PPO),DRL_PPO_1200pcu_h,77.0,129.7,7.9,16.7,0.0,12.0,0.0,0.0,0.6
50,DRL (PPO),DRL_PPO_2000pcu_h,123.3,136.0,14.4,19.3,0.0,20.0,0.0,0.0,0.5
50,DRL (PPO),DRL_PPO_2800pcu_h,162.0,142.8,21.7,30.0,0.0,31.7,0.0,0.0,0.5
50,DRL (PPO),DRL_PPO_3600pcu_h,203.3,146.4,25.5,39.3,1.3,42.0,0.0,0.0,0.4
70,Game (Ours),Game_Ours_1200pcu_h,77.0,131.9,6.3,27.0,0.0,9.7,0.0,0.0,0.7
70,Game (Ours),Game_Ours_2000pcu_h,123.0,135.0,10.2,55.0,0.0,17.7,0.0,0.0,0.6
70,Game (Ours),Game_Ours_2800pcu_h,165.0,141.4,16.6,77.7,0.0,26.3,0.0,0.0,0.5
70,Game (Ours),Game_Ours_3600pcu_h,210.3,149.5,24.7,111.0,0.7,33.0,0.0,0.0,0.4
70,SUMO Default,SUMO_Default_1200pcu_h,61.0,149.4,20.0,0.0,0.0,10.0,16.7,0.6,0.7
70,SUMO Default,SUMO_Default_2000pcu_h,35.0,138.8,9.8,0.0,0.0,54.0,14.9,0.3,0.8
