cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
0,DRL (PPO),DRL_PPO_3600pcu_h,227,141.03,29.25,0,2,45,0.0,0.0,0.5224
0,DRL (PPO),DRL_PPO_3600pcu_h,222,136.11,23.16,0,0,43,0.0,0.0,0.4943
10,Game (Ours),Game_Ours_1200pcu_h,80,123.59,7.98,5,0,12,0.0,0.0,0.5571
10,Game (Ours),Game_Ours_1200pcu_h,81,123.46,9.42,2,0,15,0.0,0.0,0.5657
10,Game (Ours),Game_Ours_1200pcu_h,79,121.94,6.51,7,0,12,0.0,0.0,0.494
10,Game (Ours),Game_Ours_2000pcu_h,130,130.58,16.21,8,0,25,0.0,0.0,0.5491
10,Game (Ours),Game_Ours_2000pcu_h,133,128.34,14.74,7,0,23,0.0,0.0,0.537
10,Game (Ours),Game_Ours_2000pcu_h,121,129.95,15.06,19,0,27,0.0,0.0,0.5404
10,Game (Ours),Game_Ours_2800pcu_h,165,140.92,26.42,17,0,33,0.0,0.0,0.466
10,Game (Ours),Game_Ours_2800pcu_h,153,138.54,24.81,2,0,38,0.0,0.0,0.4266
10,Game (Ours),Game_Ours_2800pcu_h,171,140.05,25.56,11,0,33,0.0,0.0,0.4354
10,Game (Ours),Game_Ours_3600pcu_h,197,146.47,31.88,12,0,55,0.0,0.0,0.5174
10,Game (Ours),Game_Ours_3600pcu_h,221,146.94,33.53,11,0,43,0.0,0.0,0.391
10,Game (Ours),Game_Ours_3600pcu_h,222,143.81,29.54,11,0,43,0.0,0.0,0.4145
10,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
10,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
10,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
10,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
10,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
10,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
10,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
10,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
10,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
10,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
10,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
