model,scenario,n_cav,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,label
Game (Ours),1200pcu/h,120,51,160.33,1.8,20,0,23,1200pcu/h
Game (Ours),2000pcu/h,200,92,162.3,3.71,55,0,32,2000pcu/h
Game (Ours),2800pcu/h,280,130,166.32,7.97,126,0,38,2800pcu/h
Game (Ours),3600pcu/h,360,164,169.76,11.26,195,0,43,3600pcu/h
SUMO Default,1200pcu/h,120,36,169.96,11.4,0,0,19,1200pcu/h
SUMO Default,2000pcu/h,200,25,162.12,3.18,0,0,62,2000pcu/h
SUMO Default,2800pcu/h,280,38,176.29,18.02,0,0,72,2800pcu/h
SUMO Default,3600pcu/h,360,60,175.2,15.85,0,0,89,3600pcu/h
Rule-Based,1200pcu/h,120,36,146.07,2.21,75,12,8,1200pcu/h
Rule-Based,2000pcu/h,200,110,154.56,3.37,123,0,12,2000pcu/h
Rule-Based,2800pcu/h,280,135,135.35,6.38,210,4,16,2800pcu/h
Rule-Based,3600pcu/h,360,90,157.93,7.72,378,6,25,3600pcu/h
No-V2X,1200pcu/h,120,50,160.25,1.69,22,0,22,1200pcu/h
No-V2X,2000pcu/h,200,93,163.07,4.64,68,0,33,2000pcu/h
No-V2X,2800pcu/h,280,132,166.12,7.76,123,0,40,2800pcu/h
No-V2X,3600pcu/h,360,165,169.24,10.76,178,0,46,3600pcu/h
LKSQ (Ours),1200pcu/h,120,40,159.41,1.13,0,0,38,1200pcu/h
LKSQ (Ours),2000pcu/h,200,69,161.32,2.81,0,0,69,2000pcu/h
LKSQ (Ours),2800pcu/h,280,93,164.07,5.67,0,0,92,2800pcu/h
LKSQ (Ours),3600pcu/h,360,118,167.53,8.96,0,0,119,3600pcu/h
